woj	pow	gmi	rgmi	nazwa	typ
12	11	12	4	Rabka-Zdrój	miasto
12	11	12	5	Rabka-Zdrój	obszar wiejski
12	11	13	2	Spytkowice	gmina wiejska
12	11	14	2	Szaflary	gmina wiejska
12	12			olkuski	powiat
12	12	01	1	Bukowno	gmina miejska
12	12	03	2	Bolesław	gmina wiejska
12	12	04	2	Klucze	gmina wiejska
12	12	05	3	Olkusz	gmina miejsko-wiejska
12	12	05	4	Olkusz	miasto
12	12	05	5	Olkusz	obszar wiejski
12	12	06	2	Trzyciąż	gmina wiejska
12	12	07	3	Wolbrom	gmina miejsko-wiejska
12	12	07	4	Wolbrom	miasto
12	12	07	5	Wolbrom	obszar wiejski
12	13			oświęcimski	powiat
12	13	01	1	Oświęcim	gmina miejska
12	13	02	3	Brzeszcze	gmina miejsko-wiejska
12	13	02	4	Brzeszcze	miasto
12	13	02	5	Brzeszcze	obszar wiejski
12	13	03	3	Chełmek	gmina miejsko-wiejska
12	13	03	4	Chełmek	miasto
12	13	03	5	Chełmek	obszar wiejski
12	13	04	3	Kęty	gmina miejsko-wiejska
12	13	04	4	Kęty	miasto
12	13	04	5	Kęty	obszar wiejski
12	13	05	2	Osiek	gmina wiejska
12	13	06	2	Oświęcim	gmina wiejska
12	13	07	2	Polanka Wielka	gmina wiejska
12	13	08	2	Przeciszów	gmina wiejska
12	13	09	3	Zator	gmina miejsko-wiejska
12	13	09	4	Zator	miasto
12	13	09	5	Zator	obszar wiejski
12	14			proszowicki	powiat
12	14	01	2	Koniusza	gmina wiejska
12	14	02	2	Koszyce	gmina wiejska
12	14	03	2	Nowe Brzesko	gmina wiejska
12	14	04	2	Pałecznica	gmina wiejska
12	14	05	3	Proszowice	gmina miejsko-wiejska
12	14	05	4	Proszowice	miasto
12	14	05	5	Proszowice	obszar wiejski
12	14	06	2	Radziemice	gmina wiejska
12	15			suski	powiat
12	15	01	1	Jordanów	gmina miejska
12	15	02	1	Sucha Beskidzka	gmina miejska
12	15	03	2	Budzów	gmina wiejska
12	15	04	2	Bystra-Sidzina	gmina wiejska
12	15	05	2	Jordanów	gmina wiejska
12	15	06	3	Maków Podhalański	gmina miejsko-wiejska
12	15	06	4	Maków Podhalański	miasto
12	15	06	5	Maków Podhalański	obszar wiejski
12	15	07	2	Stryszawa	gmina wiejska
12	15	08	2	Zawoja	gmina wiejska
12	15	09	2	Zembrzyce	gmina wiejska
12	16			tarnowski	powiat
12	16	01	3	Ciężkowice	gmina miejsko-wiejska
12	16	01	4	Ciężkowice	miasto
12	16	01	5	Ciężkowice	obszar wiejski
12	16	02	2	Gromnik	gmina wiejska
12	16	03	2	Lisia Góra	gmina wiejska
12	16	04	2	Pleśna	gmina wiejska
12	16	05	3	Radłów	gmina miejsko-wiejska
12	16	05	4	Radłów	miasto
12	16	05	5	Radłów	obszar wiejski
12	16	06	3	Ryglice	gmina miejsko-wiejska
12	16	06	4	Ryglice	miasto
12	16	06	5	Ryglice	obszar wiejski
12	16	07	2	Rzepiennik Strzyżewski	gmina wiejska
12	16	08	2	Skrzyszów	gmina wiejska
12	16	09	2	Tarnów	gmina wiejska
12	16	10	3	Tuchów	gmina miejsko-wiejska
12	16	10	4	Tuchów	miasto
12	16	10	5	Tuchów	obszar wiejski
12	16	11	2	Wierzchosławice	gmina wiejska
12	16	12	2	Wietrzychowice	gmina wiejska
12	16	13	3	Wojnicz	gmina miejsko-wiejska
12	16	13	4	Wojnicz	miasto
12	16	13	5	Wojnicz	obszar wiejski
12	16	14	3	Zakliczyn	gmina miejsko-wiejska
12	16	14	4	Zakliczyn	miasto
12	16	14	5	Zakliczyn	obszar wiejski
12	16	15	3	Żabno	gmina miejsko-wiejska
12	16	15	4	Żabno	miasto
12	16	15	5	Żabno	obszar wiejski
12	16	16	2	Szerzyny	gmina wiejska
12	17			tatrzański	powiat
12	17	01	1	Zakopane	gmina miejska
12	17	02	2	Biały Dunajec	gmina wiejska
12	17	03	2	Bukowina Tatrzańska	gmina wiejska
12	17	04	2	Kościelisko	gmina wiejska
12	17	05	2	Poronin	gmina wiejska
12	18			wadowicki	powiat
12	18	01	3	Andrychów	gmina miejsko-wiejska
12	18	01	4	Andrychów	miasto
12	18	01	5	Andrychów	obszar wiejski
12	18	02	2	Brzeźnica	gmina wiejska
12	18	03	3	Kalwaria Zebrzydowska	gmina miejsko-wiejska
12	18	03	4	Kalwaria Zebrzydowska	miasto
12	18	03	5	Kalwaria Zebrzydowska	obszar wiejski
12	18	04	2	Lanckorona	gmina wiejska
12	18	05	2	Mucharz	gmina wiejska
12	18	06	2	Spytkowice	gmina wiejska
12	18	07	2	Stryszów	gmina wiejska
12	18	08	2	Tomice	gmina wiejska
12	18	09	3	Wadowice	gmina miejsko-wiejska
12	18	09	4	Wadowice	miasto
12	18	09	5	Wadowice	obszar wiejski
12	18	10	2	Wieprz	gmina wiejska
12	19			wielicki	powiat
12	19	01	2	Biskupice	gmina wiejska
12	19	02	2	Gdów	gmina wiejska
12	19	03	2	Kłaj	gmina wiejska
12	19	04	3	Niepołomice	gmina miejsko-wiejska
12	19	04	4	Niepołomice	miasto
12	19	04	5	Niepołomice	obszar wiejski
12	19	05	3	Wieliczka	gmina miejsko-wiejska
12	19	05	4	Wieliczka	miasto
12	19	05	5	Wieliczka	obszar wiejski
12	61			Kraków	miasto na prawach powiatu
12	61	01	1	Kraków	gmina miejska
12	61	02	9	Kraków-Krowodrza	delegatura
12	61	03	9	Kraków-Nowa Huta	delegatura
12	61	04	9	Kraków-Podgórze	delegatura
12	61	05	9	Kraków-Śródmieście	delegatura
12	62			Nowy Sącz	miasto na prawach powiatu
12	62	01	1	Nowy Sącz	gmina miejska
12	63			Tarnów	miasto na prawach powiatu
12	63	01	1	Tarnów	gmina miejska
